,Unnamed: 0,filename,window,lib,Label
1550,6146,2a8982668e74c9553144ccaae990a23dd9753e7ad278bd519335d8b86dc8fcd3.png,2005,Die02,GOOD
1664,6555,2df50fd9ddd12dc0e2754c10c76d3de99312ac81b61d37219e0863bb2ce41227.png,2005,Die03,GOOD
1411,4729,fb6c42b0e148f5a1e4ef7e923406c22e76f87f708c77593e37ba4ee423eecd0c.png,2003,Die02,GOOD
1835,6634,720b404cb32b81dab5045b3b256c811b2b5a91069a364faaa7fc35adeb33816c.png,2005,Die03,Missing
1982,1809,031bae676ed1d2c0d8ae9596bb065e2cbec862e32bd1560c4416f7051b79e728.png,2005,Die02,Missing
1504,5724,1de7dbdc45e969350421f040a1fa87f7be915b4fd42ded33378fe86f5c1d7cb8.png,2003,Die02,GOOD
468,1391,02c1b21848fbe95f3a01dda0757c946177acf22beaa603a305f0bf27cb4be6bb.png,2003,Die01,GOOD
774,2448,02d580c34754227e1dae501d7e858282baf25ad87f70e33934b6bf9cc2373d09.png,2005,Die04,GOOD
2038,5960,9a5fe414d95df1fa7a9af7c9688f57d5f4780f12e3d0e3028da73136a18b5c64.png,2005,Die01,Missing
1801,8108,d089bb944cec465eec207ffc2bbfcec03e9f9a6ef267815af005f42b9a2ea3db.png,2003,Die01,GOOD
1850,4552,7a4e1a60af16d161e820a6ca7fce2a9a351be13413e91a6b496b8e9edcca086b.png,2003,Die02,Missing
317,1033,0720949b5e3f6a9d2ce8fb8d8fac8838d2474bef3bd1346ee0eb24503b4b2f91.png,2003,Die04,Lift-off blanc
1382,4508,5cee2353d9c185da0f1f99803746182caf1a9cbd4a7d03d1d5c6f280616750c1.png,2003,Die02,Lift-off noir
936,2741,b7ddcb70662966130705697229fc98cefa91acac0aa2e0e88a321da5a94a0e05.png,2005,Die04,GOOD
1456,5311,eae31d172b22d2331d5e186216135d3d93cabc5960fec25064b90e0466ef95a3.png,2003,Die04,GOOD
1907,2179,fa1435928982622b2cea74754080e08cf9a2dc6142bf04a9499a17eb6d35b5ac.png,2005,Die02,Missing
800,2495,20dcd626dbd759d01cbbfc3fd87c52bdbb71534781034b86f960d8d3e2c661f1.png,2005,Die04,GOOD
1803,8273,8c2897ec93e00bd24f68ac7f80152c514f623ef34b7cc4745723a29803643e0f.png,2005,Die04,GOOD
1320,4213,a2b0a7707dcfd392a566d4e39d00a016daebb8e7304748fd7ede6f8e3e247f9c.png,2005,Die03,Short circuit MOS
738,2171,f5393cc0d51816edfb09f88bed9d10a53e74fa58acca4c2e5f044b06e274b732.png,2005,Die02,GOOD
663,1986,7ae65375e3d91075e3d5acc001bd32c25c18c749a6b33ee304411a566f1fcc22.png,2005,Die02,GOOD
25,62,3ce1ba11b80d785ceeaaa907e19d116c2626400ba4cb4f9db56db9b113e5c313.png,2003,Die01,GOOD
2296,2614,66d09462e70a5f36e325910a52bc2b570e5e918a125203458ccd75b8bc75c418.png,2005,Die04,Missing
1423,4949,b33b7854910bc481068a06299b27aed6c5cd0c35836ddde9592b82f8c1bafb2d.png,2003,Die03,Lift-off blanc
919,2709,a824221b1b0e0360b81fafb0c0d35540523844be73fb6d3ce76285ae0c4e7680.png,2005,Die04,GOOD
807,2505,29c685d53abeb5966ed558340598aaa91d9c18c2cf771ec08fd2edae4e5a01bb.png,2005,Die04,GOOD
957,2787,d6c5e1a7848dfadb94b121b693566809d08ab113861b3b7bddb027e41a5869d5.png,2005,Die04,GOOD
1255,3993,9c33c6f20db00fcb38e7f16dc812ca16c6fe79d3bbdd7172cffc366456e5a650.png,2005,Die02,GOOD
1752,7810,4191cffb810db2d88aeb5c64f91a6acd1ded4596fdface4c6823b548ab3d82e6.png,2003,Die01,GOOD
1910,4162,68e30d426180a78f8ba14cd74049bf46f5f983fe7730d23677f326a51dc08716.png,2005,Die03,Missing
470,1393,031137cca63b7a7993d615a2a9896771eaa3862fbce30e5764dee7d3857b1c1a.png,2003,Die01,GOOD
1032,2960,5c2e1a5961f04ff812bbd6437a7a26f3454d55dab66106034b7b3fb886df6bab.png,2003,Die01,GOOD
183,469,4899a2397b0417a6c86fc761e77561097ef332a3f5b1b397a1716e15dccb3fee.png,2003,Die02,GOOD
2275,4799,35d73d747eb423243f5583e824465036efa8798a930f579885869f7f0c42ec19.png,2003,Die03,Missing
1718,7209,09c9ee22317fe42e984f060df91519c6d81d33cba87f10c4e8494c6afb1bb751.png,2005,Die02,Lift-off blanc
1261,4007,a906b9aff0055c0c93ba2cd1af68b1990d944f8c075561f1de0b1c8e067f0b5a.png,2005,Die02,Lift-off blanc
665,1990,7f941dac7f57e1d610b27adb7bdef56cc454387cfdcb8ec8ad03a8c8b1eb48a7.png,2005,Die02,GOOD
2093,4343,4e9ce675d3279913838a5907502abdfc9f5d15b9d5b236b836ac6289856522c2.png,2005,Die04,Missing
135,329,e187fcf2d001aeca30b1bc893a26651ea2a62984f308d79854be9ae13235e0d8.png,2003,Die01,GOOD
1070,3084,e7e2b2270ffc37c4912de12fe03ca0ffa085245bfa08bbf026bdfa10dc3bbaa5.png,2003,Die01,Short circuit MOS
907,2684,97e36a2b38223962f108284a940734fb9ca2157733ffe19ef8ff3f1324bb5595.png,2005,Die04,GOOD
461,1383,fe61dd583896e93176df5c473602202df9bc6591c6bc40814a4b74bbf7208945.png,2003,Die04,Lift-off blanc
612,1852,2661785a37606fb4adac9c03501d76113308d0c1b4c5e03fc03228aec46bdf85.png,2005,Die02,GOOD
93,231,a9ec139747b442e5e8ff556b99b89c3bb325f89a85de081873d3432901d33591.png,2003,Die01,GOOD
1349,4337,453f249a59ec016a35dac3b77c36288f0079f6570932da0afcd793cd3625fc53.png,2005,Die04,Short circuit MOS
163,401,13c5d404169fb05fd165982c0e587bd9bd345185bb8cac11386599351a685402.png,2003,Die02,GOOD
184,474,4bd57e5781f158096f0514f130b8090bd91cb695e39d70074c1236e7ef045c4d.png,2003,Die02,GOOD
1356,4378,846fb0bb79fdd35840bfc786d68dbf93c25d0ef8cc479749fcae62c86876b619.png,2005,Die04,Short circuit MOS
483,1432,14ae1cb23eabe16aefa1ca823acdede65871d30d04c9a2eb4bd6ca7336b2eed5.png,2003,Die01,GOOD
42,97,51ed247cf8ea683e086e180eb2d19417949abb46d050837f382db4a2338f5d1b.png,2003,Die01,GOOD
275,823,4db096db0b64d71efce661c4c270cc2d745940ddc5aa712d092b9f31d631c5fa.png,2003,Die03,Lift-off blanc
1560,6168,39b5ae229f62f66f9852b3685b61b37031175083197c2975334231d9bee040e7.png,2005,Die02,GOOD
2069,8146,c192360f70a4d586597fdbf7517574df7ba0305282ca01caa57db085186a9a86.png,2005,Die01,Missing
946,2764,c5a64cd6339455e5c87f6b0c4688f2369dbcdc980c6d63f9e4f56af65b343ec0.png,2005,Die04,GOOD
1096,3207,8fb4d165ed7a15c1510ae61d96bcafce638b781d3469ee3297c884908db13c2b.png,2003,Die02,Lift-off blanc
1130,3374,7279c5a73c31b8b4114a5c1a67a8e02c7f8daef76e1760550968068c47ab1ad2.png,2003,Die03,Short circuit MOS
55,135,6a31fcf4735ed462491475030a6aec36ea9b891f3e07817b11161368ea465732.png,2003,Die01,GOOD
1038,2995,7ee69a85e7b4e2cf1f4424c385216d7f9d3e183ad9b341088b08a7aa03cb67a3.png,2003,Die01,GOOD
156,388,0c48bbf9122bb88b72949439ddcbd65000746249067b228c4da9fbe7cb288b8b.png,2003,Die02,Lift-off blanc
1923,2953,5727923f7bedee7399179f90a0c3115fdfdf4dcbfa60357cf09f2e5e05a9d4c3.png,2003,Die01,Missing
761,2310,836256b59c130d1816fb6c8b18bcca33c04a46bf958bb92ac2188fc5433741a5.png,2005,Die03,Lift-off blanc
1938,4025,bdd9809220b4a71c1c87cb8f22e819ced33e29da6620add5beb10fa0e029fb32.png,2005,Die02,Missing
1539,6109,0fd0e60fffad3b64c5106ea06964874a2a6d6bdcbbc720891606c6cfdd8b8106.png,2005,Die02,GOOD
271,803,3ec31dfeb57527524b5a958044342b79c92420f71b365631e1694bea8147fc56.png,2003,Die03,Lift-off blanc
649,1947,5fdaa33a8dfbed7241421563b622d5e163237522ec895792b6b35d1882dc45ac.png,2005,Die02,GOOD
770,2443,0015f5b2a927f9f8c1395ab89e88073d3bfb5637768fab7ff75ed2b23a481aff.png,2005,Die04,GOOD
766,2385,ca1e51dd8bb08482aeb4ea0c90d0d74477c74400ec6c96c36267c8388fecf48a.png,2005,Die03,GOOD
342,1101,3755e6b680bdbeec3ebc77d1d5c1ff2e4d1d678f98009ac25b0c243186b4cec9.png,2003,Die04,GOOD
828,2532,3b7dddbe008612579dd48a4cede21a48916e6a2209e75abec4439e128bea3b0b.png,2005,Die04,GOOD
572,1730,d3298964aad3ffc4615f68855c098b182c4d758c5c029dc1ba77fe287af0acaf.png,2005,Die01,GOOD
62,149,73991ebd9bf69676b2ad9c96ce6b51363a72264211d024c7f56fd263a0e760a9.png,2003,Die01,GOOD
188,493,5cef4f887c4fca60736e3d8b1be5398e91d45e93361c677a67b752618628b804.png,2003,Die02,Lift-off noir
2067,4041,d4f38902bb16ba2a0fa7679bd6a30a3a096202303bd418d0ab5b12548c4f2cf2.png,2005,Die02,Missing
786,2463,0e3ae015080cc3a56abbc6151564d707e95d6ced1447f879c4bcebb97ac9baec.png,2005,Die04,GOOD
1422,4931,a36f8477212745d6f9b49b2e858cca85bdc193d7ab1fcb1a62bdf5c13dbd2ec1.png,2003,Die03,GOOD
